,0
0,#440154ff
1,#440558ff
2,#450a5cff
3,#450e60ff
4,#451465ff
5,#461969ff
6,#461d6dff
7,#462372ff
8,#472775ff
9,#472c7aff
10,#46307cff
11,#45337dff
12,#433880ff
13,#423c81ff
14,#404184ff
15,#3f4686ff
16,#3d4a88ff
17,#3c4f8aff
18,#3b518bff
19,#39558bff
20,#37598cff
21,#365c8cff
22,#34608cff
23,#33638dff
24,#31678dff
25,#2f6b8dff
26,#2d6e8eff
27,#2c718eff
28,#2b748eff
29,#29788eff
30,#287c8eff
31,#277f8eff
32,#25848dff
33,#24878dff
34,#238b8dff
35,#218f8dff
36,#21918dff
37,#22958bff
38,#23988aff
39,#239b89ff
40,#249f87ff
41,#25a186ff
42,#25a584ff
43,#26a883ff
44,#27ab82ff
45,#29ae80ff
46,#2eb17dff
47,#35b479ff
48,#3cb875ff
49,#42bb72ff
50,#49be6eff
51,#4ec16bff
52,#55c467ff
53,#5cc863ff
54,#61c960ff
55,#6bcc5aff
56,#72ce55ff
57,#7cd04fff
58,#85d349ff
59,#8dd544ff
60,#97d73eff
61,#9ed93aff
62,#a8db34ff
63,#b0dd31ff
64,#b8de30ff
65,#c3df2eff
66,#cbe02dff
67,#d6e22bff
68,#e1e329ff
69,#eae428ff
70,#f5e626ff
71,#fde725ff
